개방자치단체코드,관리번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
4201000,202642010000800001,강원특별자치도 강릉시,강원특별자치도 강릉시 성산면 금산리 72-1,강원특별자치도 강릉시 성산면 금산리 72-1,차량방범,1,,,30,,033-640-5332,37.7420,128.857,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
4201000,202642010000800002,강원특별자치도 강릉시,강원특별자치도 강릉시 성산면 금산리 72-1,강원특별자치도 강릉시 성산면 금산리 72-1,차량방범,1,,,30,,033-640-5332,37.7420,128.857,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
4201000,202642010000800003,강원특별자치도 강릉시,강원특별자치도 강릉시 성산면 금산리 72-1,강원특별자치도 강릉시 성산면 금산리 72-1,차량방범,1,,,30,,033-640-5332,37.7421,128.857,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
4201000,202642010000800004,강원특별자치도 강릉시,강원특별자치도 강릉시 임당동 73-3,강원특별자치도 강릉시 임당동 73-3,생활방범,1,,,30,,033-640-5332,37.7555,128.893,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
4201000,202642010000800005,강원특별자치도 강릉시,강원특별자치도 강릉시 임당동 73-3,강원특별자치도 강릉시 임당동 73-3,생활방범,1,,,30,,033-640-5332,37.7555,128.893,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
4201000,202642010000800006,강원특별자치도 강릉시,강원특별자치도 강릉시 임당동 73-3,강원특별자치도 강릉시 임당동 73-3,생활방범,1,,,30,,033-640-5332,37.7555,128.893,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
4201000,202642010000800007,강원특별자치도 강릉시,강원특별자치도 강릉시 임당동 73-3,강원특별자치도 강릉시 임당동 73-3,생활방범,1,,,30,,033-640-5332,37.7555,128.893,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
4201000,202642010000800008,강원특별자치도 강릉시,강원특별자치도 강릉시 교동 159-53,강원특별자치도 강릉시 교동 159-53,생활방범,1,,,30,,033-640-5332,37.7590,128.893,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
4201000,202642010000800009,강원특별자치도 강릉시,강원특별자치도 강릉시 교동 159-53,강원특별자치도 강릉시 교동 159-53,생활방범,1,,,30,,033-640-5332,37.7590,128.893,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
4201000,202642010000800010,강원특별자치도 강릉시,강원특별자치도 강릉시 교동 159-53,강원특별자치도 강릉시 교동 159-53,생활방범,1,,,30,,033-640-5332,37.7590,128.893,2025-12-31,,2026-05-22 21:28:50,2026-05-21 16:29:41
